day,new_infections
0.0,29.22393691830623
1.0,32.551997976705636
2.0,35.90398149352611
3.0,39.27912374562127
4.0,42.675857065927815
5.0,46.091965555522336
6.0,49.52484264154
7.0,52.971684159355945
8.0,56.429995528986886
9.0,59.897712374369966
10.0,63.37340004360987
11.0,66.85647187724513
12.0,70.34781706368464
13.0,73.85022528849866
14.0,77.3692458712079
15.0,80.91455677673964
16.0,84.5025520385424
17.0,88.16459407501209
18.0,91.96044889376847
19.0,95.95070669736471
20.0,99.97810257212709
21.0,104.02352301250814
22.0,108.06803150106202
23.0,112.09355169510306
24.0,116.08639814711759
25.0,120.04266247076117
26.0,123.95686237612736
27.0,127.82836638857844
28.0,131.66263415670045
29.0,135.47277764993268
30.0,139.26974569775948
31.0,143.0631355895018
32.0,146.85038383990354
33.0,150.6165082123602
34.0,154.3476501238607
35.0,158.03289748839424
36.0,161.6606830489799
37.0,165.22258327091672
38.0,168.70925918938354
39.0,172.10027239360835
40.0,175.37302953656544
41.0,178.50629564700577
42.0,181.48214072509683
43.0,184.30112780757506
44.0,186.978521027305
45.0,189.52178916296
46.0,191.92794037564113
47.0,194.1877621172002
48.0,196.30348100075727
49.0,198.28274216375425
50.0,200.13387401135859
51.0,201.86876615747778
52.0,203.48457205480142
53.0,204.96575630566616
54.0,206.2959802770709
55.0,207.4627244252086
56.0,208.45469553506274
57.0,209.28049685914385
58.0,209.96563742456456
59.0,210.5379417674318
60.0,211.01960117521273
61.0,211.44056790691235
62.0,211.82764443488085
63.0,212.20227825203463
64.0,212.5831234497332
65.0,212.99015736270707
66.0,213.4350846231379
67.0,213.93215879083635
68.0,214.49357699194073
69.0,215.1265767616784
70.0,215.83599571234527
71.0,216.61577653413187
72.0,217.45171751446608
73.0,218.32651930813734
74.0,219.22354448668935
75.0,220.13205491822606
76.0,221.03647912223306
77.0,221.93209701023656
78.0,222.82250603957564
79.0,223.70923528484627
80.0,224.5923332267505
81.0,225.46625310736403
82.0,226.31772678996577
83.0,227.1265899567143
84.0,227.8760766250292
85.0,228.5427870142353
86.0,229.0918686159636
87.0,229.48624966460122
88.0,229.7000763974279
89.0,229.72315085361208
90.0,229.56017055677358
91.0,229.2261311301521
92.0,228.74002504778147
93.0,228.1230310648536
94.0,227.3919387504517
95.0,226.55970143959428
96.0,225.63212150761512
97.0,224.61177490435463
98.0,223.5147944285521
99.0,222.3574646333654
100.0,221.15857916887697
101.0,219.93663135959918
102.0,218.70082145036434
103.0,217.44851117831251
104.0,216.17222059890625
105.0,214.86549930288396
106.0,213.5328854517832
107.0,212.189184445676
108.0,210.84664057228076
109.0,209.5119225997219
110.0,208.17618341504814
111.0,206.82146850562046
112.0,205.4206905228578
113.0,203.95176417016708
114.0,202.4080072470575
115.0,200.79175518048484
116.0,199.11212459500828
117.0,197.37749844199604
118.0,195.59536077389032
119.0,193.77372946882724
120.0,191.91670811428492
121.0,190.02543910274682
122.0,188.0985397521602
123.0,186.123812082791
124.0,184.09088185715927
125.0,181.9989837678737
126.0,179.84728565946904
127.0,177.6363856387277
128.0,175.374190175714
129.0,173.07515946397328
130.0,170.76275072951262
131.0,168.46277693843237
132.0,166.1948901209406
133.0,163.97118010698006
134.0,161.8031174930288
135.0,159.70147915851612
136.0,157.67016118969144
137.0,155.71152780222883
138.0,153.8281315963382
139.0,152.01438509822995
140.0,150.26185363188532
141.0,148.56223306064712
142.0,146.90548242813907
143.0,145.28092495046357
144.0,143.67608071998114
145.0,142.07835496762038
146.0,140.4797935294713
147.0,138.88074252950446
148.0,137.2863394258314
149.0,135.70553825118503
150.0,134.15084175350674
151.0,132.63094696735263
152.0,131.14847761536268
153.0,129.69615852906807
154.0,128.27045110044767
155.0,126.87408621887305
156.0,125.50370106995291
157.0,124.1540609528385
158.0,122.82022395100196
159.0,121.48829277800438
160.0,120.13830241149404
161.0,118.76309402040835
162.0,117.36081295589415
163.0,115.9318619830756
164.0,114.48549922046828
165.0,113.02962100217758
166.0,111.57200555576891
167.0,110.121510220455
