03/24 14:36:57 [DEBUG] [122020] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
03/24 14:38:56 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:01 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:06 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:11 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:16 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:21 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:26 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:32 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:37 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:42 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:47 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:52 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:39:57 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:02 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:07 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:12 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:18 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:23 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:28 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:33 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:38 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:43 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:48 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:53 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:40:58 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:03 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:09 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:14 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:19 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:24 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:29 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:34 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:39 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:44 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:49 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:41:55 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:00 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:05 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:11 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:16 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:21 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:26 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
