archetype,drug_type,screen_type,interval,itn_coverage,hs_rate,within_school_coverage,out_of_school_rate,smc,scenario_number
Coastal Western,SPAQ,IPT,term,default,default,0.9,0.3,False,2
Coastal Western,SPAQ,IPT,month,default,default,0.9,0.0,False,3
Coastal Western,SPAQ,IPT,month,default,default,0.9,0.15,False,4
Coastal Western,SPAQ,IPT,month,default,default,0.9,0.3,False,5
Coastal Western,SPAQ,IST,term,default,default,0.9,0.0,False,6
Coastal Western,SPAQ,IST,term,default,default,0.9,0.15,False,7
Coastal Western,SPAQ,IST,term,default,default,0.9,0.3,False,8
Coastal Western,SPAQ,IST,month,default,default,0.9,0.0,False,9
Coastal Western,SPAQ,IST,month,default,default,0.9,0.15,False,10
Coastal Western,SPAQ,IST,month,default,default,0.9,0.3,False,11
Coastal Western,DP,IPT,term,default,default,0.9,0.0,False,12
Coastal Western,DP,IPT,term,default,default,0.9,0.15,False,13
Coastal Western,DP,IPT,term,default,default,0.9,0.3,False,14
Coastal Western,DP,IPT,month,default,default,0.9,0.0,False,15
Coastal Western,DP,IPT,month,default,default,0.9,0.15,False,16
Coastal Western,DP,IPT,month,default,default,0.9,0.3,False,17
Coastal Western,DP,IST,term,default,default,0.9,0.0,False,18
Coastal Western,DP,IST,term,default,default,0.9,0.15,False,19
Coastal Western,DP,IST,term,default,default,0.9,0.3,False,20
Coastal Western,DP,IST,month,default,default,0.9,0.0,False,21
Coastal Western,DP,IST,month,default,default,0.9,0.15,False,22
Coastal Western,DP,IST,month,default,default,0.9,0.3,False,23
Coastal Western,DP,IPT,month,high,default,0.9,0.15,False,24
Coastal Western,DP,IPT,month,default,low,0.9,0.15,False,25
Coastal Western,DP,IPT,month,default,default,1.0,0.15,False,26
Coastal Western,DP,IPT,day,default,default,1.0,0.0,False,27
Coastal Western,None,None,None,default,default,0.9,0.0,False,28
Coastal Western,None,None,None,high,default,0.9,0.15,False,29
Sahel,SPAQ,IPT,term,default,default,0.9,0.0,False,0
Sahel,SPAQ,IPT,term,default,default,0.9,0.0,True,1
Sahel,SPAQ,IPT,term,default,default,0.9,0.15,False,2
Sahel,SPAQ,IPT,term,default,default,0.9,0.15,True,3
Sahel,SPAQ,IPT,term,default,default,0.9,0.3,False,4
Sahel,SPAQ,IPT,term,default,default,0.9,0.3,True,5
Sahel,SPAQ,IPT,month,default,default,0.9,0.0,False,6
Sahel,SPAQ,IPT,month,default,default,0.9,0.0,True,7
Sahel,SPAQ,IPT,month,default,default,0.9,0.15,False,8
Sahel,SPAQ,IPT,month,default,default,0.9,0.15,True,9
Sahel,SPAQ,IPT,month,default,default,0.9,0.3,False,10
Sahel,SPAQ,IPT,month,default,default,0.9,0.3,True,11
Sahel,SPAQ,IST,term,default,default,0.9,0.0,False,12
Sahel,SPAQ,IST,term,default,default,0.9,0.0,True,13
Sahel,SPAQ,IST,term,default,default,0.9,0.15,False,14
