archetype,interval,day
Sahel,day,88
Sahel,day,89
Sahel,day,90
Sahel,day,95
Sahel,day,96
Sahel,day,97
Sahel,day,98
Sahel,day,99
Sahel,day,100
Sahel,day,101
Sahel,day,102
Sahel,day,103
Sahel,day,104
Sahel,day,105
Sahel,day,106
Sahel,day,107
Sahel,day,108
Sahel,day,109
Sahel,day,110
Sahel,day,111
Sahel,day,112
Sahel,day,113
Sahel,day,114
Sahel,day,115
Sahel,day,116
Sahel,day,117
Sahel,day,118
Sahel,day,119
Sahel,day,120
Sahel,day,121
Sahel,day,122
Sahel,day,123
Sahel,day,124
Sahel,day,125
Sahel,day,126
Sahel,day,127
Sahel,day,128
Sahel,day,129
Sahel,day,130
Sahel,day,131
Sahel,day,132
Sahel,day,133
Sahel,day,134
Sahel,day,135
Sahel,day,136
Sahel,day,137
Sahel,day,138
Sahel,day,139
Sahel,day,140
Sahel,day,141
Sahel,day,142
Sahel,day,143
Sahel,day,144
Sahel,day,145
Sahel,day,146
Sahel,day,147
Sahel,day,148
Sahel,day,149
Sahel,day,150
Sahel,day,151
Sahel,day,258
Sahel,day,259
Sahel,day,260
Sahel,day,261
Sahel,day,262
Sahel,day,263
Sahel,day,264
Sahel,day,265
Sahel,day,266
Sahel,day,267
Sahel,day,268
Sahel,day,269
Sahel,day,270
Sahel,day,271
Sahel,day,272
Sahel,day,273
Sahel,day,274
Sahel,day,275
Sahel,day,276
Sahel,day,277
Sahel,day,278
Sahel,day,279
Sahel,day,280
Sahel,day,281
Sahel,day,282
Sahel,day,283
Sahel,day,284
Sahel,day,285
Sahel,day,286
Sahel,day,287
Sahel,day,288
Sahel,day,289
Sahel,day,290
Sahel,day,291
Sahel,day,292
Sahel,day,293
Sahel,day,294
Sahel,day,295
Sahel,day,296
Sahel,day,297
Sahel,day,298
Sahel,day,299
Sahel,day,300
Sahel,day,301
Sahel,day,302
Sahel,day,303
Sahel,day,304
Sahel,day,305
Sahel,day,306
Sahel,day,307
Sahel,day,308
Sahel,day,309
Sahel,day,310
Sahel,day,311
Sahel,day,312
Sahel,day,313
Sahel,day,314
Sahel,day,315
Sahel,day,316
Sahel,day,317
Sahel,day,318
Sahel,day,319
Sahel,day,320
Sahel,day,321
Sahel,day,322
Sahel,day,323
Sahel,day,324
Sahel,day,325
Sahel,day,326
Sahel,day,327
Sahel,day,328
Sahel,day,329
Sahel,day,330
Sahel,day,331
Sahel,day,332
Sahel,day,333
Sahel,day,334
Sahel,day,335
Sahel,day,336
Sahel,day,337
Sahel,day,338
Sahel,day,339
Sahel,day,340
Sahel,day,341
Sahel,day,342
Sahel,day,343
Sahel,day,344
Sahel,day,345
Sahel,day,346
Sahel,day,347
Sahel,day,348
Sahel,day,349
