age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,0.818181818181818,0.6,2017-10-03,60,0.5
0.65,0.25,0.6,2009-06-02,61,0.5
0.65,0.32,0.6,2010-06-02,61,0.5
0.65,0.375,0.6,2011-06-02,61,0.5
0.65,0.3,0.6,2012-06-02,61,0.5
0.65,1.0,0.6,2014-07-07,61,0.5
0.65,1.0,0.6,2017-07-07,61,0.5
0.65,0.25,0.6,2009-06-02,62,0.5
0.65,0.32,0.6,2010-06-02,62,0.5
0.65,0.375,0.6,2011-06-02,62,0.5
0.65,0.3,0.6,2012-06-02,62,0.5
0.65,0.9,0.6,2014-06-05,62,0.5
0.65,0.454545454545455,0.6,2014-07-12,62,0.5
0.65,0.9,0.6,2017-06-05,62,0.5
0.65,0.454545454545455,0.6,2017-07-12,62,0.5
0.65,0.25,0.6,2009-06-02,63,0.5
0.65,0.32,0.6,2010-06-02,63,0.5
0.65,0.375,0.6,2011-06-02,63,0.5
0.65,0.3,0.6,2012-06-02,63,0.5
0.65,0.25,0.6,2009-06-02,64,0.5
0.65,0.32,0.6,2010-06-02,64,0.5
0.65,0.375,0.6,2011-06-02,64,0.5
0.65,0.3,0.6,2012-06-02,64,0.5
0.65,0.25,0.6,2009-06-02,65,0.5
0.65,0.32,0.6,2010-06-02,65,0.5
0.65,0.5,0.6,2010-06-19,65,0.5
0.65,0.375,0.6,2011-06-02,65,0.5
0.65,0.3,0.6,2012-06-02,65,0.5
0.65,0.25,0.6,2009-06-02,66,0.5
0.65,0.32,0.6,2010-06-02,66,0.5
0.65,0.375,0.6,2011-06-02,66,0.5
0.65,1.0,0.6,2011-06-19,66,0.5
0.65,0.3,0.6,2012-06-02,66,0.5
0.65,0.25,0.6,2009-06-02,67,0.5
0.65,0.32,0.6,2010-06-02,67,0.5
0.65,0.375,0.6,2011-06-02,67,0.5
0.65,0.3,0.6,2012-06-02,67,0.5
0.65,0.25,0.6,2009-06-02,68,0.5
0.65,0.32,0.6,2010-06-02,68,0.5
0.65,0.375,0.6,2011-06-02,68,0.5
0.65,0.3,0.6,2012-06-02,68,0.5
0.65,1.0,0.6,2014-06-04,68,0.5
0.65,1.0,0.6,2017-06-04,68,0.5
0.65,0.25,0.6,2009-06-02,69,0.5
0.65,0.32,0.6,2010-06-02,69,0.5
0.65,0.375,0.6,2011-06-02,69,0.5
0.65,0.3,0.6,2012-06-02,69,0.5
0.65,0.5333333333333329,0.6,2014-06-07,69,0.5
0.65,0.8888888888888891,0.6,2014-07-05,69,0.5
0.65,0.5333333333333329,0.6,2017-06-07,69,0.5
0.65,0.8888888888888891,0.6,2017-07-05,69,0.5
0.65,0.25,0.6,2009-06-02,70,0.5
0.65,0.32,0.6,2010-06-02,70,0.5
0.65,0.375,0.6,2011-06-02,70,0.5
0.65,0.3,0.6,2012-06-02,70,0.5
0.65,0.6923076923076921,0.6,2014-05-04,70,0.5
0.65,0.8,0.6,2014-06-07,70,0.5
0.65,0.6923076923076921,0.6,2017-05-04,70,0.5
0.65,0.8,0.6,2017-06-07,70,0.5
0.65,0.25,0.6,2009-06-02,71,0.5
0.65,0.32,0.6,2010-06-02,71,0.5
0.65,0.375,0.6,2011-06-02,71,0.5
0.65,0.3,0.6,2012-06-02,71,0.5
0.65,1.0,0.6,2014-07-06,71,0.5
0.65,0.33333333333333304,0.6,2014-12-10,71,0.5
0.65,1.0,0.6,2017-07-06,71,0.5
0.65,0.33333333333333304,0.6,2017-12-10,71,0.5
0.65,0.25,0.6,2009-06-02,72,0.5
0.65,0.32,0.6,2010-06-02,72,0.5
0.65,0.375,0.6,2011-06-02,72,0.5
0.65,0.3,0.6,2012-06-02,72,0.5
0.65,1.0,0.6,2014-07-07,72,0.5
0.65,0.625,0.6,2014-07-11,72,0.5
0.65,1.0,0.6,2017-07-07,72,0.5
0.65,0.625,0.6,2017-07-11,72,0.5
0.65,0.25,0.6,2009-06-02,73,0.5
0.65,0.32,0.6,2010-06-02,73,0.5
0.65,0.5,0.6,2010-06-15,73,0.5
0.65,0.375,0.6,2011-06-02,73,0.5
0.65,0.3,0.6,2012-06-02,73,0.5
0.65,0.25,0.6,2009-06-02,74,0.5
0.65,0.32,0.6,2010-06-02,74,0.5
0.65,0.375,0.6,2011-06-02,74,0.5
0.65,0.3,0.6,2012-06-02,74,0.5
0.65,0.25,0.6,2009-06-02,75,0.5
0.65,0.32,0.6,2010-06-02,75,0.5
0.65,0.5,0.6,2012-10-17,75,0.5
0.65,0.25,0.6,2009-06-02,76,0.5
0.65,0.32,0.6,2010-06-02,76,0.5
0.65,0.375,0.6,2011-06-02,76,0.5
0.65,0.3,0.6,2012-06-02,76,0.5
0.65,0.25,0.6,2009-06-02,77,0.5
0.65,0.32,0.6,2010-06-02,77,0.5
0.65,0.375,0.6,2011-06-02,77,0.5
0.65,0.3,0.6,2012-06-02,77,0.5
0.65,0.9,0.6,2014-12-07,77,0.5
0.65,0.9,0.6,2017-12-07,77,0.5
0.65,0.25,0.6,2009-06-02,78,0.5
0.65,0.32,0.6,2010-06-02,78,0.5
0.65,0.375,0.6,2011-06-02,78,0.5
0.65,0.3,0.6,2012-06-02,78,0.5
0.65,0.6842105263157889,0.6,2014-09-02,78,0.5
0.65,0.5,0.6,2014-09-12,78,0.5
0.65,0.6842105263157889,0.6,2017-09-02,78,0.5
0.65,0.5,0.6,2017-09-12,78,0.5
0.65,0.25,0.6,2009-06-02,79,0.5
0.65,0.32,0.6,2010-06-02,79,0.5
0.65,0.375,0.6,2011-06-02,79,0.5
0.65,0.3,0.6,2012-06-02,79,0.5
0.65,1.0,0.6,2014-08-05,79,0.5
0.65,0.5,0.6,2014-08-07,79,0.5
0.65,0.7777777777777779,0.6,2014-09-12,79,0.5
0.65,1.0,0.6,2017-08-05,79,0.5
0.65,0.5,0.6,2017-08-07,79,0.5
0.65,0.7777777777777779,0.6,2017-09-12,79,0.5
0.65,0.25,0.6,2009-06-02,80,0.5
0.65,0.32,0.6,2010-06-02,80,0.5
0.65,0.375,0.6,2011-06-02,80,0.5
0.65,0.3,0.6,2012-06-02,80,0.5
